D1L4 PFR, Data Set 1

k*_1 remained constant at       1.00  (value at 300 K)
Ea_1 remained constant at      100.0  kJ/mol
n_1 remained constant at       2.00  dimensionless
a_1 remained constant at       1.00  dimensionless
b_1 remained constant at       4.00  dimensionless
flow in._1 remained constant at      0.200  m3/s
T_1 remained constant at      300.0  K
tau_1 remained constant at      0.500  s
V_1 has units of m3
conv_1 has units of (dimensionless)
flow_1 has units of m3/s

V_1	conv_1	flow_1
0	0	0.200
1.00E-3	0.124	0.274
2.00E-3	0.190	0.314
3.00E-3	0.236	0.341
4.00E-3	0.272	0.363
5.00E-3	0.301	0.381
6.00E-3	0.326	0.396
7.00E-3	0.348	0.409
8.00E-3	0.367	0.420
9.00E-3	0.384	0.431
1.00E-2	0.400	0.440
1.10E-2	0.414	0.449
1.20E-2	0.427	0.457
1.30E-2	0.440	0.464
1.40E-2	0.451	0.470
1.50E-2	0.462	0.477
1.60E-2	0.471	0.483
1.70E-2	0.481	0.488
1.80E-2	0.489	0.494
1.90E-2	0.498	0.499
2.00E-2	0.506	0.503
2.10E-2	0.513	0.508
2.20E-2	0.520	0.512
2.30E-2	0.527	0.516
2.40E-2	0.534	0.520
2.50E-2	0.540	0.524
2.60E-2	0.546	0.528
2.70E-2	0.552	0.531
2.80E-2	0.558	0.535
2.90E-2	0.563	0.538
3.00E-2	0.568	0.541
3.10E-2	0.573	0.544
3.20E-2	0.578	0.547
3.30E-2	0.583	0.550
3.40E-2	0.587	0.552
3.50E-2	0.592	0.555
3.60E-2	0.596	0.558
3.70E-2	0.600	0.560
3.80E-2	0.604	0.563
3.90E-2	0.608	0.565
4.00E-2	0.612	0.567
4.10E-2	0.616	0.569
4.20E-2	0.619	0.572
4.30E-2	0.623	0.574
4.40E-2	0.626	0.576
4.50E-2	0.629	0.578
4.60E-2	0.633	0.580
4.70E-2	0.636	0.582
4.80E-2	0.639	0.584
4.90E-2	0.642	0.585
5.00E-2	0.645	0.587
5.10E-2	0.648	0.589
5.20E-2	0.651	0.591
5.30E-2	0.654	0.592
5.40E-2	0.656	0.594
5.50E-2	0.659	0.595
5.60E-2	0.662	0.597
5.70E-2	0.664	0.599
5.80E-2	0.667	0.600
5.90E-2	0.669	0.601
6.00E-2	0.671	0.603
6.10E-2	0.674	0.604
6.20E-2	0.676	0.606
6.30E-2	0.678	0.607
6.40E-2	0.681	0.608
6.50E-2	0.683	0.610
6.60E-2	0.685	0.611
6.70E-2	0.687	0.612
6.80E-2	0.689	0.614
6.90E-2	0.691	0.615
7.00E-2	0.693	0.616
7.10E-2	0.695	0.617
7.20E-2	0.697	0.618
7.30E-2	0.699	0.619
7.40E-2	0.701	0.621
7.50E-2	0.703	0.622
7.60E-2	0.705	0.623
7.70E-2	0.706	0.624
7.80E-2	0.708	0.625
7.90E-2	0.710	0.626
8.00E-2	0.712	0.627
8.10E-2	0.713	0.628
8.20E-2	0.715	0.629
8.30E-2	0.717	0.630
8.40E-2	0.718	0.631
8.50E-2	0.720	0.632
8.60E-2	0.721	0.633
8.70E-2	0.723	0.634
8.80E-2	0.724	0.635
8.90E-2	0.726	0.635
9.00E-2	0.727	0.636
9.10E-2	0.729	0.637
9.20E-2	0.730	0.638
9.30E-2	0.732	0.639
9.40E-2	0.733	0.640
9.50E-2	0.735	0.641
9.60E-2	0.736	0.641
9.70E-2	0.737	0.642
9.80E-2	0.739	0.643
9.90E-2	0.740	0.644
0.100	0.741	0.645
