Cash ($USD),FA0 (µmol/s),FB0 (µmol/s),P (MPa),T (K),yA,yB,yC
7800,1,0.5,0.15,575,0.655,0.321,0.024
7900,0.9,0.5,0.15,575,0.63,0.344,0.027
8000,0.8,0.5,0.15,575,0.601,0.37,0.03
8100,0.7,0.5,0.15,575,0.567,0.4,0.033
8200,0.6,0.5,0.15,575,0.527,0.436,0.036
8300,0.5,1,0.15,575,0.321,0.655,0.024
8400,0.5,0.9,0.15,575,0.344,0.63,0.027
8500,0.5,0.8,0.15,575,0.37,0.601,0.03
8600,0.5,0.7,0.15,575,0.4,0.567,0.033
8700,0.5,0.6,0.15,575,0.436,0.527,0.036
8800,0.5,0.5,0.15,575,0.48,0.48,0.04
8900,1,0.5,0.1,575,0.661,0.328,0.011
9000,0.9,0.5,0.1,575,0.637,0.351,0.012
9100,0.8,0.5,0.1,575,0.609,0.378,0.013
9200,0.7,0.5,0.1,575,0.576,0.409,0.015
9300,0.6,0.5,0.1,575,0.537,0.446,0.017
9400,0.5,1,0.1,575,0.328,0.661,0.011
9500,0.5,0.9,0.1,575,0.351,0.637,0.012
9600,0.5,0.8,0.1,575,0.378,0.609,0.013
9700,0.5,0.7,0.1,575,0.409,0.576,0.015
9800,0.5,0.6,0.1,575,0.446,0.537,0.017
9900,0.5,0.5,0.1,575,0.491,0.491,0.018
