Time (s),,Inlet Molar Flow Rate (mol/s),Inlet Mole Fraction,Inlet Temperature (K),Column Pressure (kPa),Distillate Valve Lift,Column Temperature (K),Column Heat Duty (kW),Column Liquid Level (%),Bottoms Flow Rate (L/s)
-597,0,15,0.5,400,74.89045652,0.5,455.6372095,550,17.65152553,0.66
-596,1,15,0.5,400,75.00791475,0.5,455.7624306,550,17.65148513,0.66
-595,2,15,0.5,400,75.15238685,0.5,455.8852482,550,17.6512713,0.66
-594,3,15,0.5,400,75.30433667,0.5,456.0059792,550,17.65094701,0.66
-593,4,15,0.5,400,75.45709645,0.5,456.1247538,550,17.6505348,0.66
-592,5,15,0.5,400,75.60840767,0.5,456.2416382,550,17.65004332,0.66
-591,6,15,0.5,400,75.75752204,0.5,456.3566759,550,17.64947645,0.66
-590,7,15,0.5,400,75.90420862,0.5,456.4699026,550,17.64883641,0.66
-589,8,15,0.5,400,76.04841365,0.5,456.5813507,550,17.64812486,0.66
-588,9,15,0.5,400,76.19014389,0.5,456.6910512,550,17.64734321,0.66
-587,10,15,0.5,400,76.32942661,0.5,456.7990341,550,17.6464928,0.66
-586,11,15,0.5,400,76.46629582,0.5,456.905329,550,17.64557494,0.66
-585,12,15,0.5,400,76.60078754,0.5,457.0099647,550,17.64459087,0.66
-584,13,15,0.5,400,76.73293822,0.5,457.1129697,550,17.64354184,0.66
-583,14,15,0.5,400,76.86278411,0.5,457.2143718,550,17.64242906,0.66
-582,15,15,0.5,400,76.99036114,0.5,457.3141984,550,17.64125372,0.66
-581,16,15,0.5,400,77.11570483,0.5,457.4124764,550,17.64001699,0.66
-580,17,15,0.5,400,77.23885024,0.5,457.509232,550,17.63872002,0.66
-579,18,15,0.5,400,77.35983201,0.5,457.6044913,550,17.63736393,0.66
-578,19,15,0.5,400,77.47868432,0.5,457.6982797,550,17.63594985,0.66
-577,20,15,0.5,400,77.59544091,0.5,457.7906222,550,17.63447884,0.66
-576,21,15,0.5,400,77.7101351,0.5,457.8815433,550,17.63295199,0.66
-575,22,15,0.5,400,77.82279975,0.5,457.9710672,550,17.63137033,0.66
-574,23,15,0.5,400,77.93346729,0.5,458.0592175,550,17.62973491,0.66
-573,24,15,0.5,400,78.04216971,0.5,458.1460174,550,17.62804673,0.66
-572,25,15,0.5,400,78.14893858,0.5,458.2314899,550,17.62630679,0.66
-571,26,15,0.5,400,78.25380503,0.5,458.3156574,550,17.62451605,0.66
-570,27,15,0.5,400,78.35679977,0.5,458.3985418,550,17.62267549,0.66
-569,28,15,0.5,400,78.45795309,0.5,458.4801649,550,17.62078604,0.66
-568,29,15,0.5,400,78.55729485,0.5,458.5605479,550,17.61884863,0.66
-567,30,15,0.5,400,78.6548545,0.5,458.6397117,550,17.61686415,0.66
