COURSE,SCREENCAST TITLE,DESCRIPTION,DURATION,URL,VIEWS,CUSTOM TOPIC ORDER,TOPICS,SUBTOPIC,YET ANOTHER SUBTOPIC,INTRO/EXAMPLE?,INTERACTIVE? ,FEATURED?,EXAM REVIEW,FE EXAM,ABRIDGED DESCRIPTION,TEXTBOOK-1,SECTION-1,TEXTBOOK-2,SECTION-2,TEXTBOOK-3,SECTION-3,TEXTBOOK-4,SECTION-4
About Screencasts,Advantages of Screencasts for Explaining Diagrams/Graphs,Demonstrates the advantage of using screencasts to explain diagrams and graphs.,5:03,https://www.youtube.com/watch?v=wLgaTt_3mxg,102,,,,,,,,,,,,,,,,,,
About Screencasts,Before-After Editing,Brief overview of how we edit screencasts to enhance the learning experience.,4:41,https://www.youtube.com/watch?v=xhRweB1vnp8,115,,,,,,,,,,,,,,,,,,
About Screencasts,Brief Tutorial on Making Screencasts,Brief example of recording and producing videos in Camtasia Studio 7.,2:00,https://www.youtube.com/watch?v=0saLalW_zjM,227,,,,,,,,,,,,,,,,,,
About Screencasts,Using OneNote,"Describes basic properties of OneNote, its advantages, and how it can be used.",13:59,https://www.youtube.com/watch?v=pLRrf-lwG5o,205,,,,,,,,,,,,,,,,,,
About Screencasts,Using OneNote in Class,Demonstrates how to use OneNote in class (aimed at instructors).,9:07,https://www.youtube.com/watch?v=K18cqY3GJvc,251,,,,,,,,,,,,,,,,,,
About Screencasts,Using OneNote to Prepare Screencasts,Describes how to use Microsoft Office OneNote to record a screencast.,6:06,https://www.youtube.com/watch?v=cadjGtaQztg,233,,,,,,,,,,,,,,,,,,
About Screencasts,Using Screencasts to Explain Equations,Discusses the advantages of using screencasts to explain equations.,4:18,https://www.youtube.com/watch?v=c5-zcrVG958,73,,,,,,,,,,,,,,,,,,
About Screencasts,Why Prepare Screencasts?,Describes reasons for preparing screencasts.,7:11,https://www.youtube.com/watch?v=zBges9DMmo4,266,,,,,,,,,,,,,,,,,,
Catalysis,Introduction to Catalysis,Introduces the important aspects of catalytic reactions.,5:34,https://youtu.be/__90F8k8X78?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,2397,1,Introduction,,,,,,,,,,,,,,,,
Catalysis,Crystal Plane Miller Indices,Explains the Miller indices notation used to label planes in a crystal structure.,4:44,https://youtu.be/pMTA_wiY784?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,30313,2,Crystal Structures,,,,,,,,,,,,,,,,
Catalysis,Miller-Bravais Indices: Hexagonal Structure,Determines the four-parameter Miller-Bravais indices for an hexagonal unit cell.,3:46,https://youtu.be/vK913oWl_XI?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,46932,2,Crystal Structures,,,,,yes,,,,,,,,,,,
Catalysis,Tetrahedral and Octahedral Sites,Describes the locations of tetrahedral and octahedral sites in a face-centered cubic (FCC) crystal structure.,8:20,https://youtu.be/TIXWnr3sdY4?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,16614,2,Crystal Structures,,,,,,,,,,,,,,,,
Catalysis,Catalytic Selectivity and Equilibrium ,An overview of the benefit of catalysts in both reaction selectivity and equilibrium.,4:41,https://youtu.be/pJJZMcAo44g?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,454,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
Catalysis,Heterogeneous Chemical Equilibrium,"Given the Gibbs free energy at two temperatures, determine the maximum temperature for a heterogeneous reaction to occur.",5:14,https://youtu.be/ztKwAXW3KWE?list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,1054,3,Selectivity and Equilibrium,,,,,,,,,,,,,,,,
