COURSE,TOPICS,SUBTOPIC,SCREENCAST TITLE,DESCRIPTION,DURATION,YouTube VIDEO ID,YouTube PLAYLIST ID (optional),URL
About Screencasts,,,Advantages of Screencasts for Explaining Diagrams/Graphs,Demonstrates the advantage of using screencasts to explain diagrams and graphs.,,wLgaTt_3mxg,,https://www.youtube.com/watch?v=wLgaTt_3mxg
About Screencasts,,,Before-After Editing,Brief overview of how we edit screencasts to enhance the learning experience.,,xhRweB1vnp8,,https://www.youtube.com/watch?v=xhRweB1vnp8
About Screencasts,,,Brief Tutorial on Making Screencasts,Brief example of recording and producing videos in Camtasia Studio 7.,,0saLalW_zjM,,https://www.youtube.com/watch?v=0saLalW_zjM
About Screencasts,,,Using OneNote,"Describes basic properties of OneNote, its advantages, and how it can be used.",,pLRrf-lwG5o,,https://www.youtube.com/watch?v=pLRrf-lwG5o
About Screencasts,,,Using OneNote in Class,Demonstrates how to use OneNote in class (aimed at instructors).,,K18cqY3GJvc,,https://www.youtube.com/watch?v=K18cqY3GJvc
About Screencasts,,,Using OneNote to Prepare Screencasts,Describes how to use Microsoft Office OneNote to record a screencast.,,cadjGtaQztg,,https://www.youtube.com/watch?v=cadjGtaQztg
About Screencasts,,,Using Screencasts to Explain Equations,Discusses the advantages of using screencasts to explain equations.,,c5-zcrVG958,,https://www.youtube.com/watch?v=c5-zcrVG958
About Screencasts,,,Why Prepare Screencasts?,Describes reasons for preparing screencasts.,,zBges9DMmo4,,https://www.youtube.com/watch?v=zBges9DMmo4
Catalysis,Introduction,,Introduction to Catalysis,Introduces the important aspects of catalytic reactions.,,__90F8k8X78,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=__90F8k8X78&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
Catalysis,Crystal Structures,,Crystal Plane Miller Indices,Explains the Miller indices notation used to label planes in a crystal structure.,,pMTA_wiY784,PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa,https://www.youtube.com/watch?v=pMTA_wiY784&list=PL4xAk5aclnUgrmghoS2NWI_ZktPSZKFwa
